id,pir,name,ceased,taxNumber,kshNumber,ahtiNumber,ohNumber,address,excName,excDate
91729,807788,FORRÁSKÚTI MARGARÉT ÓVODA ÉS BÖLCSŐDE,,15807786106,15807786851032206,754154,202063,6793 Forráskút Dózsa György utca 10 ,Fodorné Szántó Ágota,2024-08-16
82775,357096,FORRÁSKÚTI POLGÁRMESTERI HIVATAL,,15357092106,15357092841132506,706548,,6793 Forráskút Fő utca 74 ,dr. Kapás Anita Erzsébet,2007-07-16
106585,685588,FORRÁS MŰVELŐDÉSI HÁZ,,16793916213,16793916910132213,,,2144 Kerepes Templom utca 3 ,KIS-SIMON JUDIT,2020-07-01
103561,637950,FORRAY MÁTÉ ÁLTALÁNOS ISKOLA,,,16683941852032206,,,6635 Szegvár Templom utca 2 ,Túriné Gál Anikó,2008-08-01
107985,793467,FORRAY MÁTÉ ÁLTALÁNOS ISKOLA ÉS ALAPFOKÚ MŰVÉSZETOKTATÁSI INTÉZMÉNY,,15793463206,15793463852032206,,201538,6635 Szegvár Templom utca 2 ,Bernáth Ildikó,2011-09-01
98852,546834,FORRÓ ÉS FANCSAL KÖZSÉGEK KÖRJEGYZŐSÉGE,,15546838105,15546838841132205,,,3849 Forró Fő út 62 ,Nagyné dr. Pail Marianna,2001-06-01
91855,809375,FORRÓI KÖZÖS ÖNKORMÁNYZATI HIVATAL,,15809379105,15809379841132505,,,3849 Forró Fő út 62 ,dr. Arnóczki Tímea,2020-10-01
93726,835684,FORRÓI KÖZPONTI KONYHA,,15835688205,15835688562932205,,,3849 Forró Fő út 131 ,,
86142,634960,FORRÓI NAPKÖZI OTTHONOS ÓVODA ÉS ESZTERLÁNC BÖLCSŐDE,,16675030105,16675030851032205,,028623,3849 Forró Part út 3 ,Oroszné Kozma Judit,2022-08-01
94652,307639,FORSTER GYULA NEMZETI ÖRÖKSÉGVÉDELMI ÉS VAGYONGAZDÁLKODÁSI KÖZPONT,,15307633241,15307633841231201,039035,,1014 Budapest Táncsics Mihály utca 1 ,Varga István,2016-09-01
92165,813167,FÓTI GAZDASÁGI ELLÁTÓ SZERVEZET,,15813169213,15813169841132213,,,2151 Fót Dózsa György út 12-14 ,Hamala Katalin Margit,2023-03-01
92159,813091,FÓTI KÖZÖS ÖNKORMÁNYZATI HIVATAL,,15813097113,15813097841132513,,,2151 Fót Vörösmarty  tér 1 ,dr. Mihályi Zsolt Apor,2020-02-20
99399,566643,"FÓTI NÉPMŰVÉSZETI SZAKKÖZÉP-,  SZAKISKOLA ÉS GIMNÁZIUM",,15566647113,15566647853232213,,032600,2151 Fót Vörösmarty tér 2 ,Kaudersné Madarász Zsuzsanna,2009-08-01
99401,566665,FÓTI ÖNKORMÁNYZATI ZENEISKOLA - ALAPFOKÚ MŰVÉSZETOKTATÁSI INTÉZMÉNY,,15566661113,15566661852032213,,040031,2151 Fót Dózsa György út 12-14 ,Cselőteiné Závodszky Katalin,2010-08-01
109048,848271,FÓTI VÁROSI KÖNYVTÁR ÉS INFORMÁCIÓS KÖZPONT,,15848271113,15848271910132213,,,2151 Fót Béke utca 35 ,Kaba Eszter,2024-01-01
85614,566511,FÓT VÁROS EGYESÍTETT SZOCIÁLIS ÉS EGÉSZSÉGÜGYI INTÉZMÉNY,,15566513113,15566513889932213,,,2151 Fót Szent Benedek utca 15 ,Orosz Anikó,2022-08-16
96533,393991,FÓT VÁROS ÖNKORMÁNYZAT POLGÁRMESTERI HIVATALA,,15393991213,15393991841132513,713331,,2151 Fót Vörösmarty tér 1 ,Chrobák Zoltánné dr.,2012-03-01
94711,319856,FŐVÁROSI ÁLLATEGÉSZSÉGÉGYI ÉS ÉLELMISZER-ELLENŐRZŐ ÁLLOMÁS,,15319854241,15319854751331201,,,1135 Budapest Lehel út 43-47 ,Dr. Surányi Lajos,2003-12-22
